id,color,school_id
2376,green,61.0
2411,green,257.0
2442,green,198.0
2374,green,164.0
2412,green,229.0
2413,green,111.0
2414,green,24.0
2418,lime,253.0
2419,green,5.0
2423,green,93.0
2424,green,253.0
2425,green,253.0
2426,green,30.0
2429,green,93.0
2430,green,24.0
2431,green,62.0
2432,green,253.0
2415,green,256.0
2416,green,27.0
2400,green,198.0
2436,lime,256.0
2438,lime,62.0
2439,lime,27.0
2440,green,62.0
2441,green,62.0
2448,green,62.0
2449,lime,62.0
2405,lime,198.0
2451,lime,62.0
2452,lime,62.0
2455,green,111.0
2456,green,160.0
2437,lime,208.0
2458,green,111.0
2459,green,253.0
2390,green,192.0
2386,green,111.0
2373,green,111.0
2422,green,192.0
2379,green,61.0
2427,green,93.0
2417,green,111.0
2421,green,25.0
2420,green,25.0
2409,green,257.0
10170,green,63.0
10171,green,63.0
670,green,15.0
671,green,102.0
672,green,92.0
673,green,90.0
674,green,76.0
2383,green,254.0
2483,green,63.0
2468,green,62.0
2469,green,25.0
2470,green,208.0
2471,green,160.0
2473,green,94.0
2474,green,24.0
2482,green,89.0
2476,lime,62.0
2492,green,38.0
2479,green,254.0
2485,green,257.0
2487,green,62.0
2488,green,111.0
2489,lime,62.0
2490,lime,62.0
2533,green,62.0
2493,green,222.0
2494,lime,111.0
2496,green,62.0
2501,green,62.0
2477,green,63.0
2472,green,79.0
2505,green,93.0
2507,green,222.0
2508,green,257.0
2510,lime,62.0
2524,lime,198.0
2521,green,62.0
2450,lime,62.0
2526,green,62.0
2527,green,62.0
2528,green,62.0
2509,green,25.0
2530,green,62.0
2535,green,62.0
2463,green,64.0
2537,green,62.0
2538,green,62.0
2486,green,38.0
2480,green,62.0
2460,lime,94.0
2484,green,223.0
604,lime,62.0
2461,lime,160.0
2466,green,111.0
2498,green,63.0
10172,green,
2055,green,223.0
2022,lime,254.0
2506,green,93.0
2499,green,38.0
2481,green,62.0
2500,green,253.0
2158,green,62.0
1943,green,62.0
304,lime,62.0
6,green,62.0
414,lime,62.0
208,green,62.0
880,green,62.0
366,green,62.0
768,green,62.0
2341,green,62.0
914,green,63.0
1922,green,62.0
2042,green,62.0
805,green,62.0
1977,green,62.0
336,lime,62.0
2069,green,62.0
247,green,62.0
2309,green,62.0
1768,lime,62.0
117,green,198.0
592,green,92.0
607,lime,75.0
594,green,64.0
847,lime,51.0
2283,green,62.0
1336,green,62.0
278,green,62.0
2502,green,257.0
1926,lime,62.0
10173,lime,
2175,green,198.0
2113,lime,62.0
943,lime,176.0
992,lime,196.0
1025,green,135.0
1026,green,177.0
1099,lime,83.0
1485,green,246.0
916,green,62.0
2062,green,111.0
2247,green,62.0
2248,green,111.0
2279,lime,25.0
2349,lime,192.0
2387,green,99999.0
2503,green,253.0
2616,green,
2342,green,62.0
2590,lime,
2591,lime,
2592,lime,
2593,lime,
2595,lime,
2596,green,
2597,green,
2617,green,
2618,green,
2619,green,
2588,green,251.0
2620,green,
2600,green,
2621,green,
2603,green,
2607,green,
2608,green,
9582,green,
9583,green,
9584,green,
9585,green,
202,lime,62.0
675,green,135.0
676,green,90.0
677,green,123.0
678,green,99999.0
2610,green,
2612,green,
2613,green,
2614,green,
2615,green,
2622,green,
2623,green,
2624,green,
2625,green,
2626,green,
2627,green,
3745,lime,
3746,lime,
2631,lime,
2633,lime,
2634,lime,
2635,green,
2636,green,
2640,green,
2641,green,
2642,green,
2643,green,
2645,lime,
2648,lime,
2649,lime,
2650,green,
2651,green,
2659,lime,82.0
2661,lime,82.0
2662,lime,82.0
2664,lime,251.0
2665,lime,251.0
2666,lime,
2667,lime,
2669,green,
2670,green,
2671,green,
2672,green,
2673,green,
2674,green,
2675,green,251.0
2676,green,171.0
2677,green,15.0
2678,green,
9586,green,
9588,green,
9590,lime,
1726,green,62.0
679,green,162.0
680,green,65.0
2679,green,251.0
2680,green,
2681,green,
2711,green,
3449,green,
3733,green,
3734,green,
3735,green,
3736,green,251.0
3737,green,
3740,green,
3741,lime,251.0
3742,lime,251.0
3747,lime,
3749,green,
3750,green,
3751,green,251.0
2704,green,
2705,green,
2706,green,
9587,green,
9589,lime,
2151,lime,105.0
681,green,76.0
682,green,169.0
683,green,246.0
684,green,133.0
2707,green,
2716,green,
2717,green,
2718,green,
2719,green,
2720,green,
2721,green,
2722,green,
2723,green,
2724,green,
2725,green,
2726,green,251.0
2727,green,
2728,green,
2795,green,164.0
2729,green,
2730,lime,
2731,lime,
2732,lime,
2733,lime,
2734,lime,
2735,lime,
2736,green,
2737,green,
2738,green,
2739,green,
2740,green,
2741,green,251.0
2742,lime,
2743,lime,
2744,lime,
2745,lime,
2746,green,251.0
2747,green,
